01 L 1 21 Y,39.53084045N,116.28773312E,18.3370
01 L 2 19 Y,39.53100419N,116.28773484E,18.5072
02 L 1 13 N,39.53100425N,116.28773458E,18.5052
02 L 2 17 N,39.53130698N,116.28772720E,18.4754
02 L 3 29 N,39.53138631N,116.28772121E,18.6043
02 L 4 23 N,39.53269711N,116.28770845E,18.4147
03 L 1 23 Y,39.53269791N,116.28770954E,18.4318
03 L 2 23 Y,39.53279958N,116.28770927E,18.4636
04 L 1 38 N,39.53237837N,116.29024486E,18.1626
05 O 1 26 N,39.53196209N,116.29024107E,18.2055
04 L 2 36 N,39.53132619N,116.29025782E,18.1420
06 L 1 34 N,39.53131705N,116.29097279E,18.0164
06 L 2 31 N,39.53266501N,116.29095082E,18.1434
15 L 1 27 Y,39.53265831N,116.29183722E,18.0511
08 O 1 20 N,39.53242897N,116.29182869E,16.6124
09 O 1 20 N,39.53205673N,116.29181833E,16.6292
10 O 1 23 N,39.53121852N,116.29179851E,16.5902
07 L 2 29 N,39.53116641N,116.29180129E,18.1712
07 L 3 16 N,39.53069481N,116.29180513E,17.9946
11 O 1 25 N,39.53095222N,116.29151998E,16.4239
12 O 1 5 N,39.53089246N,116.29030299E,16.5390
13 L 1 6 N,39.53090754N,116.29069054E,17.7643
13 L 2 6 N,39.53098309N,116.29070481E,17.6900
14 O 1 5 N,39.53087813N,116.28987481E,17.8885
07 L 1 34 N,39.53261271N,116.29183383E,17.7195
15 L 2 27 Y,39.53261278N,116.29183433E,17.6863
